name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 3x2 peers,38.027436913133066,40.54118631266672,43.30700989750317,43.90876660894882,44.75830009700214
2pc - 3x2 peers,11.286702227332308,11.696321765560722,11.839236305454806,12.02115210656924,12.373078136443803
gpac - 4x2 peers,40.56080701485689,43.97650363752601,46.0421827231165,47.742796248733455,48.43660041220298
2pc - 4x2 peers,8.84099931242098,9.342287525801732,9.529551458048706,9.844542277057531,10.162250130057524
gpac - 5x2 peers,30.554104733658853,32.442880212923534,33.46412346922997,34.719551461149635,35.384034254994525
2pc - 5x2 peers,10.566999445576675,10.762173274451197,10.879755587262585,10.949812421388913,11.081124989724138
gpac - 6x2 peers,24.86005236644594,27.657941195042287,29.00829321066474,33.21514758031623,34.644495970740024
2pc - 6x2 peers,7.211081262995517,7.459020285163049,7.560404326504852,7.780762390187205,7.886638708515362
gpac - 10x2 peers,21.90526706016868,22.98814810878175,23.630237204812826,24.3492704808605,24.874719552131204
2pc - 10x2 peers,6.138980526900379,6.326649714569497,6.469437684028186,6.544468406387508,6.6906944926755925
gpac - 20x2 peers,9.400209670245903,10.28993109071208,10.649676412119558,11.029246070813228,11.443891815758445
2pc - 20x2 peers,4.006627812074333,4.0463786967176265,4.071128655778226,4.097132605810321,4.126965012443617
