Index,Time,rps
0,0.0,5.0
1,15.0,5.0
2,30.0,5.0
3,45.0,5.0
4,60.0,5.0
5,75.0,5.0
6,90.0,5.0
7,105.0,5.0
8,120.0,5.0
9,135.0,5.0
10,150.0,5.0
11,165.0,5.0
12,180.0,5.0
13,195.0,5.0
14,210.0,5.0
15,225.0,5.0
16,240.0,5.0
17,255.0,0.6666666666666666
18,270.0,0.6666666666666666
19,285.0,1.6666666666666667
20,300.0,3.3666666666666667
21,315.0,4.616666666666666
22,330.0,7.166666666666667
23,345.0,10.1
24,360.0,9.483333333333333
25,375.0,9.316666666666666
26,390.0,7.85
27,405.0,5.0
28,420.0,5.0
29,435.0,5.0
30,450.0,5.0
31,465.0,5.0
32,480.0,5.0
33,495.0,5.0
34,510.0,5.0
35,525.0,5.0
36,540.0,5.0
