Index,Time,rps
0,0.0,5.0
1,15.0,5.0
2,30.0,5.0
3,45.0,5.0
4,60.0,5.0
5,75.0,5.0
6,90.0,5.0
7,105.0,5.0
8,120.0,5.0
9,135.0,5.0
10,150.0,5.0
11,165.0,5.0
12,180.0,5.0
13,195.0,5.0
14,210.0,5.0
15,225.0,5.0
16,240.0,5.0
17,255.0,0.6666666666666666
18,270.0,0.7333333333333333
19,285.0,0.7333333333333333
20,300.0,1.3333333333333333
21,315.0,4.166666666666667
22,330.0,7.266666666666667
23,345.0,10.266666666666667
24,360.0,10.733333333333333
25,375.0,8.983333333333333
26,390.0,6.933333333333334
27,405.0,5.0
28,420.0,5.0
29,435.0,5.0
30,450.0,5.0
31,465.0,5.0
32,480.0,5.0
33,495.0,5.0
34,510.0,5.0
35,525.0,5.0
36,540.0,5.0
37,555.0,5.0
