Index,Time,rps
0,0.0,5.0
1,15.0,5.0
2,30.0,5.0
3,45.0,5.0
4,60.0,5.0
5,75.0,5.0
6,90.0,5.0
7,105.0,5.0
8,120.0,5.0
9,135.0,5.0
10,150.0,5.0
11,165.0,5.0
12,180.0,5.0
13,195.0,5.0
14,210.0,4.1
15,225.0,2.85
16,240.0,1.7
17,255.0,0.6166666666666667
18,270.0,0.3833333333333333
19,285.0,0.3833333333333333
20,300.0,0.2833333333333333
21,315.0,0.1166666666666666
22,330.0,0.45
23,345.0,3.783333333333333
24,360.0,7.616666666666666
25,375.0,13.116666666666667
26,390.0,14.916666666666666
27,405.0,12.833333333333334
28,420.0,10.25
29,435.0,6.0
30,450.0,5.0
31,465.0,5.0
32,480.0,5.0
33,495.0,5.0
34,510.0,5.0
35,525.0,5.0
36,540.0,5.0
37,555.0,5.0
